# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps
28.60649,-1.47930,4.88708,1.28154,-1.11554,2.37689
28.65812,-1.46255,4.93592,1.21322,-0.99439,2.42370
28.71073,-1.44292,4.98473,1.15302,-0.86748,2.48279
28.76451,-1.42052,5.03362,1.10084,-0.74752,2.55172
28.81960,-1.39544,5.08267,1.05607,-0.63933,2.62815
28.87609,-1.36780,5.13194,1.01786,-0.54452,2.71026
28.93406,-1.33770,5.18148,0.98535,-0.46278,2.79665
28.99353,-1.30528,5.23134,0.95773,-0.39283,2.88623
29.05451,-1.27067,5.28154,0.93428,-0.33304,2.97815
29.11699,-1.23399,5.33211,0.91441,-0.28177,3.07177
29.18091,-1.19539,5.38307,0.89763,-0.23752,3.16656
29.24624,-1.15501,5.43443,0.88352,-0.19899,3.26211
29.31289,-1.11301,5.48618,0.87176,-0.16512,3.35808
29.38079,-1.06953,5.53833,0.86207,-0.13500,3.45416
29.44985,-1.02473,5.59089,0.85423,-0.10792,3.55011
29.51996,-0.97877,5.64384,0.84806,-0.08326,3.64569
29.59102,-0.93182,5.69717,0.84343,-0.06053,3.74068
29.66291,-0.88403,5.75088,0.84021,-0.03930,3.83488
29.73551,-0.83557,5.80494,0.83832,-0.01922,3.92809
29.80870,-0.78662,5.85935,0.83771,0.00004,4.02008
29.88234,-0.73735,5.91408,0.83832,0.01877,4.11065
29.95630,-0.68794,5.96911,0.84013,0.03723,4.19956
30.03045,-0.63856,6.02442,0.84314,0.05576,4.28655
30.10463,-0.58939,6.07998,0.84735,0.07463,4.30406
30.17872,-0.54063,6.13575,0.85281,0.09420,4.18533
30.25255,-0.49247,6.19172,0.85955,0.11457,4.06470
30.32601,-0.44507,6.24784,0.86763,0.13489,3.94215
30.39900,-0.39860,6.30412,0.87700,0.15637,3.81764
30.47129,-0.35332,6.36047,0.88803,0.18502,3.69193
30.54264,-0.30950,6.41678,0.90101,0.21626,3.56534
30.61282,-0.26742,6.47295,0.91619,0.25297,3.43851
30.68162,-0.22734,6.52887,0.93391,0.29561,3.31206
30.74883,-0.18955,6.58445,0.95461,0.34581,3.18681
30.81431,-0.15427,6.63961,0.97885,0.40543,3.06373
30.87792,-0.12176,6.69428,1.00729,0.47668,2.94406
30.93961,-0.09221,6.74844,1.04078,0.56185,2.82944
30.99940,-0.06580,6.80208,1.08029,0.66277,2.72198
31.05739,-0.04267,6.85526,1.12685,0.77959,2.62457
31.11379,-0.02292,6.90809,1.18140,0.90832,2.54114
31.16892,-0.00660,6.96075,1.24437,1.03723,2.47711
31.22323,0.00627,7.01351,1.31493,1.13870,2.43731
31.27730,0.01572,7.06674,1.39062,1.17836,2.43731
31.33205,0.02188,7.12115,1.46534,1.10795,2.43731
31.38834,0.02488,7.17735,1.53353,1.00233,2.47631
31.44622,0.02472,7.23524,1.59545,0.91436,2.53162
31.50568,0.02137,7.29460,1.65233,0.84580,2.59505
31.56661,0.01485,7.35518,1.70540,0.79579,2.66242
31.62890,0.00515,7.41671,1.75573,0.76122,2.73081
31.69237,-0.00775,7.47886,1.80426,0.74008,2.79798
31.75684,-0.02383,7.54129,1.85180,0.73095,2.86190
31.82209,-0.04310,7.60363,1.89912,0.73294,2.92038
31.88792,-0.06553,7.66552,1.94692,0.74563,2.92746
31.95409,-0.09111,7.72654,1.99590,0.76927,2.85659
32.02038,-0.11982,7.78630,2.04677,0.80383,2.78090
32.08658,-0.15163,7.84435,2.10036,0.85332,2.70438
32.15246,-0.18649,7.90026,2.15734,0.90839,2.62754
32.21782,-0.22434,7.95354,2.21952,1.01391,2.62754
32.28247,-0.26512,8.00370,2.28474,1.00062,2.62754
