# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps
6.46812,-4.39415,4.60466,-1.35844,0.30644,4.04925
6.53375,-4.37848,4.54093,-1.33898,0.29526,4.10529
6.60015,-4.36143,4.47676,-1.32028,0.28271,4.16178
6.66734,-4.34301,4.41213,-1.30243,0.26936,4.21908
6.73535,-4.32324,4.34706,-1.28544,0.25569,4.27740
6.80417,-4.30217,4.28156,-1.26934,0.24208,4.33682
6.87376,-4.27981,4.21565,-1.25411,0.22876,4.39734
6.94409,-4.25623,4.14939,-1.23973,0.21592,4.45889
7.01511,-4.23148,4.08283,-1.22616,0.20367,4.52135
7.08675,-4.20562,4.01602,-1.21337,0.19208,4.58460
7.15893,-4.17871,3.94903,-1.20130,0.18117,4.64847
7.23159,-4.15082,3.88195,-1.18992,0.17096,4.71281
7.30461,-4.12204,3.81483,-1.17917,0.16144,4.77745
7.37791,-4.09243,3.74778,-1.16902,0.15259,4.84224
7.45138,-4.06209,3.68087,-1.15941,0.14439,4.90701
7.52492,-4.03108,3.61419,-1.15032,0.13685,4.97162
7.59841,-3.99949,3.54783,-1.14169,0.12997,5.00000
7.67175,-3.96741,3.48188,-1.13349,0.12365,5.00000
7.74483,-3.93492,3.41641,-1.12568,0.11788,5.00000
7.81755,-3.90209,3.35153,-1.11823,0.11265,5.00000
7.88980,-3.86901,3.28730,-1.11110,0.10793,5.00000
7.96148,-3.83573,3.22381,-1.10425,0.10374,5.00000
8.03249,-3.80235,3.16114,-1.09766,0.10006,5.00000
8.10276,-3.76891,3.09934,-1.09129,0.09691,5.00000
8.17220,-3.73549,3.03847,-1.08511,0.09435,5.00000
8.24074,-3.70212,2.97860,-1.07907,0.09236,5.00000
8.30833,-3.66885,2.91977,-1.07314,0.09100,5.00000
8.37492,-3.63571,2.86201,-1.06728,0.09019,5.00000
8.44071,-3.60259,2.80516,-1.06145,0.09039,5.00000
8.50634,-3.56907,2.74874,-1.05560,0.09029,5.00000
